Phi[deg],Theta[deg],RealizedGainY
-180,0,40.9766
-178,0,40.9766
-176,0,40.9766
-174,0,40.9766
-172,0,40.9766
-170,0,40.9766
-168,0,40.9766
-166,0,40.9766
-164,0,40.9766
-162,0,40.9766
-160,0,40.9766
-158,0,40.9766
-156,0,40.9766
-154,0,40.9766
-152,0,40.9766
-150,0,40.9766
-148,0,40.9766
-146,0,40.9766
-144,0,40.9766
-142,0,40.9766
-140,0,40.9766
-138,0,40.9766
-136,0,40.9766
-134,0,40.9766
-132,0,40.9766
-130,0,40.9766
-128,0,40.9766
-126,0,40.9766
-124,0,40.9766
-122,0,40.9766
-120,0,40.9766
-118,0,40.9766
-116,0,40.9766
-114,0,40.9766
-112,0,40.9766
-110,0,40.9766
-108,0,40.9766
-106,0,40.9766
-104,0,40.9766
-102,0,40.9766
-100,0,40.9766
-98,0,40.9766
-96,0,40.9766
-94,0,40.9766
-92,0,40.9766
-90,0,40.9766
-88,0,40.9766
-86,0,40.9766
-84,0,40.9766
-82,0,40.9766
-80,0,40.9766
-78,0,40.9766
-76,0,40.9766
-74,0,40.9766
-72,0,40.9766
-70,0,40.9766
-68,0,40.9766
-66,0,40.9766
-64,0,40.9766
-62,0,40.9766
-60,0,40.9766
-58,0,40.9766
-56,0,40.9766
-54,0,40.9766
-52,0,40.9766
-50,0,40.9766
-48,0,40.9766
-46,0,40.9766
-44,0,40.9766
-42,0,40.9766
-40,0,40.9766
-38,0,40.9766
-36,0,40.9766
-34,0,40.9766
-32,0,40.9766
-30,0,40.9766
-28,0,40.9766
-26,0,40.9766
-24,0,40.9766
-22,0,40.9766
-20,0,40.9766
-18,0,40.9766
-16,0,40.9766
-14,0,40.9766
-12,0,40.9766
-10,0,40.9766
-8,0,40.9766
-6,0,40.9766
-4,0,40.9766
-2,0,40.9766
0,0,40.9766
2,0,40.9766
4,0,40.9766
6,0,40.9766
8,0,40.9766
10,0,40.9766
12,0,40.9766
14,0,40.9766
16,0,40.9766
18,0,40.9766
20,0,40.9766
22,0,40.9766
24,0,40.9766
26,0,40.9766
28,0,40.9766
30,0,40.9766
32,0,40.9766
34,0,40.9766
36,0,40.9766
38,0,40.9766
40,0,40.9766
42,0,40.9766
44,0,40.9766
46,0,40.9766
48,0,40.9766
50,0,40.9766
52,0,40.9766
54,0,40.9766
56,0,40.9766
58,0,40.9766
60,0,40.9766
62,0,40.9766
64,0,40.9766
66,0,40.9766
68,0,40.9766
70,0,40.9766
72,0,40.9766
74,0,40.9766
76,0,40.9766
78,0,40.9766
80,0,40.9766
82,0,40.9766
84,0,40.9766
86,0,40.9766
88,0,40.9766
90,0,40.9766
92,0,40.9766
94,0,40.9766
96,0,40.9766
98,0,40.9766
100,0,40.9766
102,0,40.9766
104,0,40.9766
106,0,40.9766
108,0,40.9766
110,0,40.9766
112,0,40.9766
114,0,40.9766
116,0,40.9766
118,0,40.9766
120,0,40.9766
122,0,40.9766
124,0,40.9766
126,0,40.9766
128,0,40.9766
130,0,40.9766
132,0,40.9766
134,0,40.9766
136,0,40.9766
138,0,40.9766
140,0,40.9766
142,0,40.9766
144,0,40.9766
146,0,40.9766
148,0,40.9766
150,0,40.9766
152,0,40.9766
154,0,40.9766
156,0,40.9766
158,0,40.9766
160,0,40.9766
162,0,40.9766
164,0,40.9766
166,0,40.9766
168,0,40.9766
170,0,40.9766
172,0,40.9766
174,0,40.9766
176,0,40.9766
178,0,40.9766
180,0,40.9766
-180,2,40.6871
-178,2,40.681
-176,2,40.6727
-174,2,40.6624
-172,2,40.65
-170,2,40.6356
-168,2,40.6192
-166,2,40.601
-164,2,40.5809
-162,2,40.5592
-160,2,40.5358
-158,2,40.511
-156,2,40.4847
-154,2,40.4571
-152,2,40.4284
-150,2,40.3986
-148,2,40.368
-146,2,40.3366
-144,2,40.3045
-142,2,40.272
-140,2,40.2391
-138,2,40.206
-136,2,40.1729
-134,2,40.14
-132,2,40.1072
-130,2,40.0749
-128,2,40.0431
-126,2,40.012
